,XP_num,D_control,D_treated,H0_coef_univ,H0_coef,log_pvalue_init,est_cox_coef_init,est_cox_coef_se_init,log_pvalue_HI-VAE_weibull,est_cox_coef_HI-VAE_weibull,est_cox_coef_se_HI-VAE_weibull,J-S distance_HI-VAE_weibull,KS test_HI-VAE_weibull,Survival curves distance_HI-VAE_weibull,Detection XGB_HI-VAE_weibull,NNDR_HI-VAE_weibull,K-map score_HI-VAE_weibull,log_pvalue_HI-VAE_piecewise,est_cox_coef_HI-VAE_piecewise,est_cox_coef_se_HI-VAE_piecewise,J-S distance_HI-VAE_piecewise,KS test_HI-VAE_piecewise,Survival curves distance_HI-VAE_piecewise,Detection XGB_HI-VAE_piecewise,NNDR_HI-VAE_piecewise,K-map score_HI-VAE_piecewise
10,2,256,255,0.11274706999547256,0.2,2.5606133620308063,0.15644677782813068,0.08863667423814854,21.06564359959976,0.5550170140313843,0.09107281636278071,0.006408551315910264,0.9507057546145496,0.09836332921111776,0.6436443414220819,0.4629713690956551,11.0,18.107498832281323,0.5079510700901136,0.09034474631220844,0.0050048542335666725,0.9563517915309446,0.08373622025081676,0.6053580960272935,0.547280054858965,11.0
11,2,256,255,0.11274706999547256,0.2,2.5606133620308063,0.15644677782813068,0.08863667423814854,13.35251497515165,0.4313793532058132,0.09051374440254016,0.005745960829008927,0.9507057546145494,0.07703238860379225,0.6320698785256852,0.47913142683941223,7.0,17.68899456141877,0.508547330547782,0.09162961199429279,0.007760495293717613,0.9441910966340935,0.09383745331487096,0.6118725807475094,0.4275536887163835,11.0
12,2,256,255,0.11274706999547256,0.2,2.5606133620308063,0.15644677782813068,0.08863667423814854,14.691939475995385,0.4521829738695455,0.09004017524459552,0.006412411978832872,0.9459283387622148,0.07055889693812166,0.6161776215023099,0.40297277215935035,13.0,18.01780893738212,0.5058035119053523,0.09020600085980092,0.005357566110551863,0.9554831704668838,0.08111182240497844,0.6077100044916754,0.4525586116727181,11.0
13,2,256,255,0.11274706999547256,0.2,2.5606133620308063,0.15644677782813068,0.08863667423814854,15.77066104783021,0.47512419803620143,0.09106085027538878,0.006498921230771915,0.9494028230184581,0.07784075305392991,0.59245261655649,0.4187452114506113,13.0,21.300349326712148,0.566858275742981,0.09252848469736988,0.006920114220421678,0.9489685124864277,0.11212909862606153,0.6757694638233489,0.4440137147477749,9.0
14,2,256,255,0.11274706999547256,0.2,2.5606133620308063,0.15644677782813068,0.08863667423814854,15.094760481155433,0.46611508800718265,0.0914609244797333,0.006630645674057064,0.9472312703583062,0.09226827245216701,0.5920454418203603,0.46304183377212516,11.0,15.415556087252826,0.46627778220931065,0.09046637003031024,0.005742136623856199,0.9565689467969598,0.07019471114906911,0.5800202560877133,0.41211397622721185,8.0
15,2,256,255,0.11274706999547256,0.2,2.5606133620308063,0.15644677782813068,0.08863667423814854,10.530503061581381,0.3709784018439904,0.08879707905713766,0.006000301474251439,0.9539630836047774,0.05466472690034817,0.6188866243876826,0.4883371756522914,10.0,17.491595196511355,0.49946966874930093,0.09049742636372311,0.007492244947536234,0.9444082519001086,0.08225863216219684,0.5887049914832359,0.4419261030166589,10.0
16,2,256,255,0.11274706999547256,0.2,2.5606133620308063,0.15644677782813068,0.08863667423814854,17.20608889615502,0.5003562510860354,0.09145831400276137,0.006424698358798016,0.9489685124864278,0.09006914299740754,0.6261022335198437,0.4083307838280782,12.0,14.51350114040919,0.44839637776710894,0.08988476984770138,0.005288879541606909,0.9561346362649293,0.06896032407890701,0.5605545663915671,0.3779314635925896,12.0
17,2,256,255,0.11274706999547256,0.2,2.5606133620308063,0.15644677782813068,0.08863667423814854,14.35355735197274,0.45074886888776505,0.09089997413655718,0.006693817731071173,0.9480998914223672,0.08200279918968652,0.6174383390008075,0.41535906632979547,11.0,18.104535842112487,0.512808907233479,0.09122418236280688,0.006500758680561112,0.9496199782844734,0.08771758649752212,0.6282118279128391,0.43666947236173165,10.0
18,2,256,255,0.11274706999547256,0.2,2.5606133620308063,0.15644677782813068,0.08863667423814854,12.88138173612389,0.4186138410267539,0.08958062462254224,0.006436061533527239,0.9511400651465797,0.06398056569935573,0.5872386647405964,0.5056405579099109,10.0,20.755953790076724,0.5485662760055985,0.09073774799069355,0.005396734382048913,0.9507057546145492,0.08532844709996362,0.5878306078443815,0.4505909056157651,10.0
19,2,256,255,0.11274706999547256,0.2,2.5606133620308063,0.15644677782813068,0.08863667423814854,17.100572520475538,0.49477638708891236,0.09074827216223948,0.006147842799430653,0.950488599348534,0.08324727000157242,0.6460998321531798,0.4384635549970315,12.0,20.287987920468062,0.5484571275483455,0.09183152765046305,0.0058890255403041105,0.9554831704668838,0.10504680667746909,0.6338074477205058,0.35361255763215954,8.0
